traceid,label,activity,anomaly_type,anomaly_details
1,normal,START,,
1,normal,F,,
1,normal,L,,
1,normal,M,,
1,normal,Q,,
1,normal,O,,
1,normal,N,,
1,normal,P,,
1,normal,R,,
1,normal,S,,
1,normal,T,,
1,normal,U,,
1,normal,END,,
2,anomaly,START,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,F,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,G,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,M,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,O,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,Q,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,P,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,R,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,S,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,T,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,U,skipping_activity,"{'index': 6, 'activity': 'N'}"
2,anomaly,END,skipping_activity,"{'index': 6, 'activity': 'N'}"
3,anomaly,START,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,F,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,L,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,M,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,N,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,O,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,Q,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,R,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,S,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,T,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,U,skipping_activity,"{'index': 4, 'activity': 'P'}"
3,anomaly,END,skipping_activity,"{'index': 4, 'activity': 'P'}"
4,anomaly,START,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,F,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,J,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,K,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,M,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,O,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,N,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,Q,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,R,skipping_activity,"{'index': 6, 'activity': 'P'}"
4,anomaly,S,skipping_activity,"{'index': 6, 'activity': 'P'}"
