traceid,activity,timestamp
1,START,2021-06-04 09:00:00.000
1,F,2021-06-04 09:00:10.000
1,L,2021-06-04 09:00:30.000
1,M,2021-06-04 09:01:10.000
1,Q,2021-06-04 09:01:17.347
1,O,2021-06-04 09:01:18.318
1,N,2021-06-04 09:01:19.574
1,P,2021-06-04 09:01:28.586
1,R,2021-06-04 09:02:50.000
1,S,2021-06-04 09:05:50.000
1,T,2021-06-04 09:11:50.000
1,U,2021-06-04 09:23:50.000
1,END,2021-06-04 09:23:50.000
2,START,2021-06-04 09:00:10.000
2,F,2021-06-04 09:00:20.000
2,G,2021-06-04 09:00:50.000
2,M,2021-06-04 09:01:50.000
2,O,2021-06-04 09:01:58.989
2,Q,2021-06-04 09:01:59.181
2,N,2021-06-04 09:02:00.333
2,P,2021-06-04 09:02:01.892
2,R,2021-06-04 09:04:10.000
2,S,2021-06-04 09:08:30.000
2,T,2021-06-04 09:17:10.000
2,U,2021-06-04 09:34:30.000
2,END,2021-06-04 09:34:30.000
3,START,2021-06-04 09:00:20.000
3,F,2021-06-04 09:00:40.000
3,L,2021-06-04 09:01:30.000
3,M,2021-06-04 09:03:10.000
3,P,2021-06-04 09:03:17.027
3,N,2021-06-04 09:03:19.410
3,O,2021-06-04 09:03:19.672
3,Q,2021-06-04 09:03:22.583
3,R,2021-06-04 09:06:50.000
3,S,2021-06-04 09:13:50.000
3,T,2021-06-04 09:27:50.000
3,U,2021-06-04 09:55:40.000
3,END,2021-06-04 09:55:40.000
4,START,2021-06-04 09:00:30.000
4,F,2021-06-04 09:01:00.000
4,J,2021-06-04 09:02:10.000
4,K,2021-06-04 09:04:30.000
4,M,2021-06-04 09:09:10.000
4,O,2021-06-04 09:09:15.514
4,P,2021-06-04 09:09:17.951
4,N,2021-06-04 09:09:20.252
4,Q,2021-06-04 09:09:21.675
4,R,2021-06-04 09:18:50.000
4,S,2021-06-04 09:37:50.000
4,T,2021-06-04 10:15:30.000
4,U,2021-06-04 11:30:40.000
4,END,2021-06-04 11:30:40.000
5,START,2021-06-04 09:00:40.000
5,F,2021-06-04 09:01:20.000
5,J,2021-06-04 09:02:40.000
5,K,2021-06-04 09:05:30.000
5,M,2021-06-04 09:11:10.000
5,N,2021-06-04 09:11:16.610
5,P,2021-06-04 09:11:16.808
5,O,2021-06-04 09:11:17.455
5,Q,2021-06-04 09:11:22.133
5,R,2021-06-04 09:22:50.000
5,S,2021-06-04 09:45:50.000
5,T,2021-06-04 10:31:30.000
5,U,2021-06-04 12:02:40.000
5,END,2021-06-04 12:02:40.000
6,START,2021-06-04 09:00:50.000
6,F,2021-06-04 09:01:40.000
6,G,2021-06-04 09:03:30.000
6,M,2021-06-04 09:07:10.000
6,Q,2021-06-04 09:07:18.263
6,P,2021-06-04 09:07:21.887
6,N,2021-06-04 09:07:22.186
6,O,2021-06-04 09:07:25.556
6,R,2021-06-04 09:14:50.000
6,S,2021-06-04 09:29:50.000
6,T,2021-06-04 09:59:40.000
6,U,2021-06-04 10:59:00.000
6,END,2021-06-04 10:59:00.000
7,START,2021-06-04 09:01:00.000
7,F,2021-06-04 09:02:00.000
7,L,2021-06-04 09:04:00.000
7,M,2021-06-04 09:08:10.000
7,Q,2021-06-04 09:08:14.435
7,P,2021-06-04 09:08:20.462
7,N,2021-06-04 09:08:23.207
7,O,2021-06-04 09:08:24.062
7,R,2021-06-04 09:16:50.000
7,S,2021-06-04 09:33:50.000
7,T,2021-06-04 10:07:40.000
7,U,2021-06-04 11:15:00.000
7,END,2021-06-04 11:15:00.000
8,START,2021-06-04 09:01:10.000
8,F,2021-06-04 09:02:20.000
8,G,2021-06-04 09:04:50.000
8,M,2021-06-04 09:09:50.000
8,N,2021-06-04 09:09:56.658
8,O,2021-06-04 09:09:57.247
8,P,2021-06-04 09:10:01.299
8,Q,2021-06-04 09:10:01.997
8,R,2021-06-04 09:20:10.000
8,S,2021-06-04 09:40:30.000
8,T,2021-06-04 10:20:50.000
8,U,2021-06-04 11:41:20.000
8,END,2021-06-04 11:41:20.000
9,START,2021-06-04 09:01:20.000
9,F,2021-06-04 09:02:30.000
9,J,2021-06-04 09:05:10.000
9,K,2021-06-04 09:10:30.000
9,M,2021-06-04 09:21:10.000
9,N,2021-06-04 09:21:12.595
9,Q,2021-06-04 09:21:17.709
9,P,2021-06-04 09:21:21.426
9,O,2021-06-04 09:21:24.039
9,R,2021-06-04 09:42:50.000
9,S,2021-06-04 10:25:30.000
9,T,2021-06-04 11:50:40.000
9,U,2021-06-07 06:40:20.000
9,END,2021-06-07 06:40:20.000
10,START,2021-06-04 09:01:30.000
10,F,2021-06-04 09:03:00.000
10,G,2021-06-04 09:06:10.000
10,M,2021-06-04 09:12:30.000
10,Q,2021-06-04 09:12:36.289
10,O,2021-06-04 09:12:39.515
10,N,2021-06-04 09:12:40.022
10,P,2021-06-04 09:12:43.790
10,R,2021-06-04 09:25:30.000
10,S,2021-06-04 09:51:00.000
10,T,2021-06-04 10:41:50.000
10,U,2021-06-04 12:23:20.000
10,END,2021-06-04 12:23:20.000
11,START,2021-06-04 09:01:40.000
11,F,2021-06-04 09:03:20.000
11,L,2021-06-04 09:06:40.000
11,M,2021-06-04 09:13:30.000
11,O,2021-06-04 09:13:37.534
11,N,2021-06-04 09:13:38.198
11,Q,2021-06-04 09:13:40.060
11,P,2021-06-04 09:13:45.657
11,R,2021-06-04 09:27:30.000
11,S,2021-06-04 09:55:00.000
11,T,2021-06-04 10:49:50.000
11,U,2021-06-04 12:39:20.000
11,END,2021-06-04 12:39:20.000
12,START,2021-06-04 09:01:50.000
12,F,2021-06-04 09:03:40.000
12,L,2021-06-04 09:07:30.000
12,M,2021-06-04 09:15:10.000
12,P,2021-06-04 09:15:15.442
12,Q,2021-06-04 09:15:16.171
12,O,2021-06-04 09:15:18.838
12,N,2021-06-04 09:15:19.842
12,R,2021-06-04 09:30:30.000
12,S,2021-06-04 10:01:00.000
12,T,2021-06-04 11:01:40.000
12,U,2021-06-04 13:02:50.000
12,END,2021-06-04 13:02:50.000
13,START,2021-06-04 09:02:00.000
13,F,2021-06-04 09:03:50.000
13,J,2021-06-04 09:07:50.000
13,K,2021-06-04 09:15:50.000
13,M,2021-06-04 09:31:50.000
13,O,2021-06-04 09:31:57.684
13,Q,2021-06-04 09:31:58.216
13,P,2021-06-04 09:32:02.343
13,N,2021-06-04 09:32:06.694
13,R,2021-06-04 10:04:00.000
13,S,2021-06-04 11:07:40.000
13,T,2021-06-04 13:14:50.000
13,U,2021-06-07 09:28:00.000
13,END,2021-06-07 09:28:00.000
14,START,2021-06-04 09:02:10.000
14,F,2021-06-04 09:04:20.000
14,J,2021-06-04 09:08:50.000
14,K,2021-06-04 09:17:50.000
14,M,2021-06-04 09:35:50.000
14,O,2021-06-04 09:35:53.432
14,N,2021-06-04 09:35:56.690
14,Q,2021-06-04 09:36:01.625
14,P,2021-06-04 09:36:08.589
14,R,2021-06-04 10:11:50.000
14,S,2021-06-04 11:23:20.000
14,T,2021-06-04 13:46:00.000
14,U,2021-06-07 10:30:20.000
14,END,2021-06-07 10:30:20.000
15,START,2021-06-04 09:02:20.000
15,F,2021-06-04 09:04:40.000
15,J,2021-06-04 09:09:30.000
15,K,2021-06-04 09:19:10.000
15,M,2021-06-04 09:38:30.000
15,N,2021-06-04 09:38:34.673
15,Q,2021-06-04 09:38:39.694
15,P,2021-06-04 09:38:39.938
15,O,2021-06-04 09:38:41.325
15,R,2021-06-04 10:17:10.000
15,S,2021-06-04 11:34:00.000
15,T,2021-06-07 06:07:10.000
15,S,2021-06-07 11:12:40.000
