traceid,label,activity,anomaly_type,anomaly_details
1,anomaly,START,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,F,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,L,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,M,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,Q,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,O,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,N,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,P,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,R,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,S,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,U,skipping_activity,"{'index': 10, 'activity': 'T'}"
1,anomaly,END,skipping_activity,"{'index': 10, 'activity': 'T'}"
2,normal,START,,
2,normal,F,,
2,normal,G,,
2,normal,M,,
2,normal,O,,
2,normal,Q,,
2,normal,N,,
2,normal,P,,
2,normal,R,,
2,normal,S,,
2,normal,T,,
2,normal,U,,
2,normal,END,,
3,normal,START,,
3,normal,F,,
3,normal,L,,
3,normal,M,,
3,normal,P,,
3,normal,N,,
3,normal,O,,
3,normal,Q,,
3,normal,R,,
3,normal,S,,
3,normal,T,,
3,normal,U,,
3,normal,END,,
4,anomaly,START,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,F,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,J,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,K,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,O,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,P,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,N,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,Q,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,R,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,S,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,T,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,U,skipping_activity,"{'index': 4, 'activity': 'M'}"
4,anomaly,END,skipping_activity,"{'index': 4, 'activity': 'M'}"
5,normal,START,,
5,normal,F,,
5,normal,J,,
5,normal,K,,
5,normal,M,,
5,normal,N,,
5,normal,P,,
5,normal,O,,
5,normal,Q,,
5,normal,R,,
5,normal,S,,
5,normal,T,,
5,normal,U,,
5,normal,END,,
6,anomaly,START,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,F,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,G,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,M,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,Q,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,P,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,N,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,O,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,S,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,T,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,U,skipping_activity,"{'index': 8, 'activity': 'R'}"
6,anomaly,END,skipping_activity,"{'index': 8, 'activity': 'R'}"
