traceid,label,activity,anomaly_type,anomaly_details
1,normal,START,,
1,normal,F,,
1,normal,L,,
1,normal,M,,
1,normal,Q,,
1,normal,O,,
1,normal,N,,
1,normal,P,,
1,normal,R,,
1,normal,S,,
1,normal,T,,
1,normal,U,,
1,normal,END,,
2,normal,START,,
2,normal,F,,
2,normal,G,,
2,normal,M,,
2,normal,O,,
2,normal,Q,,
2,normal,N,,
2,normal,P,,
2,normal,R,,
2,normal,S,,
2,normal,T,,
2,normal,U,,
2,normal,END,,
3,normal,START,,
3,normal,F,,
3,normal,L,,
3,normal,M,,
3,normal,P,,
3,normal,N,,
3,normal,O,,
3,normal,Q,,
3,normal,R,,
3,normal,S,,
3,normal,T,,
3,normal,U,,
3,normal,END,,
4,anomaly,START,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,F,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,J,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,K,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,M,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,O,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,P,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,N,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,O,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,Q,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,R,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,S,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,T,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,U,activity_insertion,"{'index': 8, 'activity': 'O'}"
4,anomaly,END,activity_insertion,"{'index': 8, 'activity': 'O'}"
5,anomaly,START,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,F,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,J,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,K,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,M,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,N,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,L,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,P,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,O,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,Q,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,R,activity_insertion,"{'index': 6, 'activity': 'L'}"
5,anomaly,S,activity_insertion,"{'index': 6, 'activity': 'L'}"
