traceid,label,activity,anomaly_type,anomaly_details
1,normal,START,,
1,normal,F,,
1,normal,L,,
1,normal,M,,
1,normal,Q,,
1,normal,O,,
1,normal,N,,
1,normal,P,,
1,normal,R,,
1,normal,S,,
1,normal,T,,
1,normal,U,,
1,normal,END,,
2,normal,START,,
2,normal,F,,
2,normal,G,,
2,normal,M,,
2,normal,O,,
2,normal,Q,,
2,normal,N,,
2,normal,P,,
2,normal,R,,
2,normal,S,,
2,normal,T,,
2,normal,U,,
2,normal,END,,
3,normal,START,,
3,normal,F,,
3,normal,L,,
3,normal,M,,
3,normal,P,,
3,normal,N,,
3,normal,O,,
3,normal,Q,,
3,normal,R,,
3,normal,S,,
3,normal,T,,
3,normal,U,,
3,normal,END,,
4,normal,START,,
4,normal,F,,
4,normal,J,,
4,normal,K,,
4,normal,M,,
4,normal,O,,
4,normal,P,,
4,normal,N,,
4,normal,Q,,
4,normal,R,,
4,normal,S,,
4,normal,T,,
4,normal,U,,
4,normal,END,,
5,anomaly,START,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,R,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,J,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,K,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,M,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,N,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,P,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,O,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,Q,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,F,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,S,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,T,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,U,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
5,anomaly,END,activity_switching,"{'index1': 9, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
6,normal,START,,
6,normal,F,,
6,normal,G,,
6,normal,M,,
6,normal,Q,,
6,normal,P,,
6,normal,N,,
6,normal,O,,
6,normal,R,,
6,normal,S,,
